2026-06-17 13:59:26 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 14:00:03 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 14:06:37 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 14:14:16 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 14:15:06 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:04:11 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:04:15 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:04:15 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:04:15 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 15:04:15 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 15:04:15 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 15:04:15 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 15:04:15 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 15:04:15 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 15:04:15 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 15:04:15 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 15:04:15 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 15:04:16 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 15:04:16 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 15:04:17 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 15:04:18 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 15:04:18 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 15:04:18 | INFO     | pipeline               |   Resolved to 73 unique entities from 100 raw mentions.
2026-06-17 15:04:18 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:04:18 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 15:04:18 | INFO     | pipeline               |   Documents  : 5
2026-06-17 15:04:18 | INFO     | pipeline               |   Entities   : 73
2026-06-17 15:04:18 | INFO     | pipeline               |   Relations  : 99
2026-06-17 15:04:18 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 15:04:18 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 15:04:18 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 15:04:18 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 15:04:18 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:04:18 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 15:04:18 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 15:04:18 | INFO     | fraud_detector         |   Running: Shell Company
2026-06-17 15:04:18 | INFO     | fraud_detector         |     → 2 alert(s) found.
2026-06-17 15:04:18 | INFO     | fraud_detector         |   Running: Ownership Conflict
2026-06-17 15:04:18 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:04:18 | INFO     | fraud_detector         | Detection complete — 41 alerts, overall risk 0.93 (CRITICAL).
2026-06-17 15:12:01 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:12:05 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:12:05 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:12:05 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 15:12:05 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 15:12:05 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 15:12:05 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 15:12:05 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 15:12:05 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 15:12:05 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 15:12:05 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 15:12:05 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 15:12:06 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 15:12:07 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 15:12:07 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 15:12:08 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 15:12:09 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 15:12:09 | INFO     | pipeline               |   Resolved to 73 unique entities from 100 raw mentions.
2026-06-17 15:12:09 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:12:09 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 15:12:09 | INFO     | pipeline               |   Documents  : 5
2026-06-17 15:12:09 | INFO     | pipeline               |   Entities   : 73
2026-06-17 15:12:09 | INFO     | pipeline               |   Relations  : 99
2026-06-17 15:12:09 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 15:12:09 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 15:12:09 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 15:12:09 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 15:12:09 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:12:09 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 15:12:09 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 15:12:09 | INFO     | fraud_detector         |   Running: Shell Company
2026-06-17 15:12:09 | INFO     | fraud_detector         |     → 2 alert(s) found.
2026-06-17 15:12:09 | INFO     | fraud_detector         |   Running: Ownership Conflict
2026-06-17 15:12:09 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:12:09 | INFO     | fraud_detector         | Detection complete — 41 alerts, overall risk 0.93 (CRITICAL).
2026-06-17 15:17:24 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:17:28 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:17:28 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:17:28 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 15:17:28 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 15:17:28 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 15:17:28 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 15:17:28 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 15:17:28 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 15:17:28 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 15:17:28 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 15:17:28 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 15:17:29 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 15:17:30 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 15:17:31 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 15:17:32 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 15:17:33 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 15:17:33 | INFO     | pipeline               |   Resolved to 73 unique entities from 100 raw mentions.
2026-06-17 15:17:33 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:17:33 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 15:17:33 | INFO     | pipeline               |   Documents  : 5
2026-06-17 15:17:33 | INFO     | pipeline               |   Entities   : 73
2026-06-17 15:17:33 | INFO     | pipeline               |   Relations  : 99
2026-06-17 15:17:33 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 15:17:33 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 15:17:33 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 15:17:33 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 15:17:33 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:17:33 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 15:17:33 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 15:17:33 | INFO     | fraud_detector         |   Running: Shell Company
2026-06-17 15:17:33 | INFO     | fraud_detector         |     → 2 alert(s) found.
2026-06-17 15:17:33 | INFO     | fraud_detector         |   Running: Ownership Conflict
2026-06-17 15:17:33 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:17:33 | INFO     | fraud_detector         | Detection complete — 4 alerts, overall risk 0.90 (CRITICAL).
2026-06-17 15:18:37 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:18:41 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:18:41 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:18:41 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 15:18:41 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 15:18:41 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 15:18:41 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 15:18:41 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 15:18:41 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 15:18:41 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 15:18:41 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 15:18:41 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 15:18:42 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 15:18:44 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 15:18:45 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 15:18:46 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 15:18:47 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 15:18:47 | INFO     | pipeline               |   Resolved to 73 unique entities from 100 raw mentions.
2026-06-17 15:18:47 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 15:18:47 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 15:18:48 | INFO     | pipeline               |   Documents  : 5
2026-06-17 15:18:48 | INFO     | pipeline               |   Entities   : 73
2026-06-17 15:18:48 | INFO     | pipeline               |   Relations  : 99
2026-06-17 15:18:48 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 15:18:48 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 15:18:48 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 15:18:48 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 15:18:48 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:18:48 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 15:18:48 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 15:18:48 | INFO     | fraud_detector         |   Running: Shell Company
2026-06-17 15:18:48 | INFO     | fraud_detector         |     → 2 alert(s) found.
2026-06-17 15:18:48 | INFO     | fraud_detector         |   Running: Ownership Conflict
2026-06-17 15:18:48 | INFO     | fraud_detector         |     → 19 alert(s) found.
2026-06-17 15:18:48 | INFO     | fraud_detector         | Detection complete — 4 alerts, overall risk 0.90 (CRITICAL).
2026-06-17 15:29:35 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:29:39 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:29:57 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 15:30:01 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 19:55:21 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 19:55:26 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 19:55:26 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 19:55:26 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 19:55:26 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 19:55:26 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 19:55:26 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 19:55:26 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 19:55:26 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 19:55:26 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 19:55:26 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 19:55:26 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 19:55:28 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 19:55:29 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 19:55:30 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 19:55:31 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 19:55:32 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 19:55:32 | INFO     | pipeline               |   Resolved to 61 unique entities from 87 raw mentions.
2026-06-17 19:55:32 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 19:55:32 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 19:55:32 | INFO     | pipeline               |   Documents  : 5
2026-06-17 19:55:32 | INFO     | pipeline               |   Entities   : 61
2026-06-17 19:55:32 | INFO     | pipeline               |   Relations  : 49
2026-06-17 19:55:32 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 19:55:32 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 19:55:32 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 19:55:32 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 19:55:32 | INFO     | fraud_detector         |     → 13 alert(s) found.
2026-06-17 19:55:32 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 19:55:32 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 19:55:32 | INFO     | fraud_detector         |   Running: Shell Company
2026-06-17 19:55:32 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 19:55:32 | INFO     | fraud_detector         |   Running: Ownership Conflict
2026-06-17 19:55:32 | INFO     | fraud_detector         |     → 13 alert(s) found.
2026-06-17 19:55:32 | INFO     | fraud_detector         | Detection complete — 3 alerts, overall risk 0.72 (HIGH).
2026-06-17 20:07:43 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:07:48 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:07:48 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 20:07:48 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 20:07:48 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 20:07:48 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 20:07:48 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 20:07:48 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 20:07:48 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 20:07:48 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 20:07:48 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 20:07:48 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 20:07:52 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 20:07:54 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 20:07:55 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 20:07:57 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 20:07:59 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 20:07:59 | INFO     | pipeline               |   Resolved to 56 unique entities from 80 raw mentions.
2026-06-17 20:07:59 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 20:07:59 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 20:07:59 | INFO     | pipeline               |   Documents  : 5
2026-06-17 20:07:59 | INFO     | pipeline               |   Entities   : 56
2026-06-17 20:07:59 | INFO     | pipeline               |   Relations  : 64
2026-06-17 20:07:59 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 20:07:59 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 20:07:59 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 20:07:59 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 20:07:59 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 20:07:59 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 20:07:59 | INFO     | fraud_detector         |     → 3 alert(s) found.
2026-06-17 20:07:59 | INFO     | fraud_detector         |   Running: Shell Company
2026-06-17 20:07:59 | INFO     | fraud_detector         |     → 28 alert(s) found.
2026-06-17 20:07:59 | INFO     | fraud_detector         |   Running: Ownership Conflict
2026-06-17 20:07:59 | INFO     | fraud_detector         |     → 7 alert(s) found.
2026-06-17 20:07:59 | INFO     | fraud_detector         | Detection complete — 5 alerts, overall risk 0.79 (HIGH).
2026-06-17 20:10:17 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:10:22 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:11:18 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:11:25 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:12:23 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:12:27 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:13:05 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:13:10 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:36:03 | ERROR    | graph_engine           | Neo4j unreachable at bolt://localhost:7687.  Is the database running?
2026-06-17 20:36:03 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 20:36:03 | INFO     | pipeline               | STAGE 1 — Document Ingestion
2026-06-17 20:36:03 | INFO     | pipeline               | Found 5 document(s) in C:\Users\DELL\CanaraBank-Hackthon\NexusGuard_Sukaksha_hackthon\input_documents.
2026-06-17 20:36:03 | INFO     | pipeline               |   Ingested: doc1_loan_application_rajesh.txt  [type=loan_application]
2026-06-17 20:36:03 | INFO     | pipeline               |   Ingested: doc2_loan_application_amit.txt  [type=loan_application]
2026-06-17 20:36:03 | INFO     | pipeline               |   Ingested: doc3_company_registration_apex.txt  [type=company_filing]
2026-06-17 20:36:03 | INFO     | pipeline               |   Ingested: doc4_land_transfer_deed.txt  [type=land_registry]
2026-06-17 20:36:03 | INFO     | pipeline               |   Ingested: doc5_property_verification_report.txt  [type=property_verification]
2026-06-17 20:36:03 | INFO     | pipeline               | STAGE 2 — Entity & Relationship Extraction
2026-06-17 20:36:03 | INFO     | pipeline               |   Processing [1/5]: doc1_loan_application_rajesh.txt
2026-06-17 20:36:06 | INFO     | pipeline               |   Processing [2/5]: doc2_loan_application_amit.txt
2026-06-17 20:36:08 | INFO     | pipeline               |   Processing [3/5]: doc3_company_registration_apex.txt
2026-06-17 20:36:09 | INFO     | pipeline               |   Processing [4/5]: doc4_land_transfer_deed.txt
2026-06-17 20:36:10 | INFO     | pipeline               |   Processing [5/5]: doc5_property_verification_report.txt
2026-06-17 20:36:12 | INFO     | pipeline               | STAGE 3 — Entity Resolution
2026-06-17 20:36:12 | INFO     | pipeline               |   Resolved to 56 unique entities from 80 raw mentions.
2026-06-17 20:36:12 | INFO     | pipeline               | ══════════════════════════════════════════════════
2026-06-17 20:36:12 | INFO     | pipeline               | PIPELINE COMPLETE
2026-06-17 20:36:12 | INFO     | pipeline               |   Documents  : 5
2026-06-17 20:36:12 | INFO     | pipeline               |   Entities   : 56
2026-06-17 20:36:12 | INFO     | pipeline               |   Relations  : 64
2026-06-17 20:36:12 | INFO     | fraud_detector         | Starting full fraud detection sweep…
2026-06-17 20:36:12 | INFO     | fraud_detector         |   Running: Address Reuse
2026-06-17 20:36:12 | INFO     | fraud_detector         |     → 1 alert(s) found.
2026-06-17 20:36:12 | INFO     | fraud_detector         |   Running: Collateral Conflict
2026-06-17 20:36:12 | INFO     | fraud_detector         |     → 0 alert(s) found.
2026-06-17 20:36:12 | INFO     | fraud_detector         |   Running: Network Cycles
2026-06-17 20:36:12 | INFO     | fraud_detector         |     → 3 alert(s) found.
2026-06-17 20:36:12 | INFO     | fraud_detector         |   Running: Shell Company
